Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left-link_gripper_finger_1,0.019238,-0.010462,0.0063859,0,0,0,0.030889,1.9625E-05,5.0785E-06,7.699E-06,2.6979E-05,-5.932E-06,1.7644E-05,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_gripper_finger_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_gripper_finger_1.STL,,ARM-GR-LEFT-00-1/GR2A-03-0-1/F-01-2,坐标系18,基准轴17,left-joint_gripper_finger_1,prismatic,0.0041878,-0.021902,0.0812,-1.5708,-1.5708,-1.5714,left-link_gripper_base,0,0,-1,100,1,0,0.05,,,,,,,,
left-link_gripper_finger_2,0.019238,-0.010492,0.0063859,0,0,0,0.030889,1.9624E-05,5.0781E-06,7.6992E-06,2.6979E-05,-5.9317E-06,1.7644E-05,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_gripper_finger_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_gripper_finger_2.STL,,ARM-GR-LEFT-00-1/GR2A-03-0-1/F-01-1,坐标系19,基准轴18,left-joint_gripper_finger_2,prismatic,-0.0041878,0.021933,0.0812,2.4279,-1.5708,-2.4285,left-link_gripper_base,0,-0.0005584,-1,100,1,0,0.05,,,,,,,,
left-link_ee_ft_sensor,0.00010802,0.00012645,0.0058754,0,0,0,0.062708,1.8346E-05,2.8353E-08,-1.1593E-08,1.8467E-05,-5.8578E-08,3.507E-05,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_ee_ft_sensor.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_ee_ft_sensor.STL,,ARM-GR-LEFT-00-1/六维力-1,坐标系8,基准轴8,left-joint_ee_ft_sensor,fixed,0.061,0,-4.2996E-05,-1.5708,0,-1.5707,left-link_arm_7,0,0,0,,,,,,,,,,,,
right-link_arm_base,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_arm_base.STL,1,1,1,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_arm_base.STL,,ARM-GR-RIGHT-00-1/RIGHT-ARM-1/J1-01-1;ARM-GR-RIGHT-00-1/RIGHT-ARM-1/PH17-1-1,坐标系23,基准轴9,right-joint_arm_base,fixed,0,-0.117,0.283,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
right-link_arm_1,-0.0011699,1.3169E-07,0.043882,0,0,0,0.53418,0.00094394,5.09E-09,-6.9484E-05,0.0019256,4.5861E-09,0.0016239,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_arm_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_arm_1.STL,,ARM-GR-RIGHT-00-1/RIGHT-ARM-1/J1-02-1,坐标系9,基准轴9,right-joint_arm_1,revolute,0,0,0.048,0,0,0,right-link_arm_base,0,0,1,100,1,-3.14,3.14,,,,,,,,
right-link_arm_2,2.761E-07,-0.055318,0.00024968,0,0,0,1.2991,0.0052388,-4.4739E-09,2.5077E-10,0.001368,-1.1355E-08,0.0051498,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_arm_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_arm_2.STL,,ARM-GR-RIGHT-00-1/RIGHT-ARM-1/J2-01-1,坐标系10,基准轴10,right-joint_arm_2,revolute,0,0,0.076999,-1.5708,0,1.5708,right-link_arm_1,0,0,1,100,1,-1.91,1.91,,,,,,,,
right-link_arm_3,-0.028391,1.8481E-06,0.07263,0,0,0,0.65629,0.0021459,9.3126E-09,0.00070546,0.0024303,-1.6816E-09,0.000793,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_arm_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_arm_3.STL,,ARM-GR-RIGHT-00-1/RIGHT-ARM-1/J3-02-1,坐标系11,基准轴11,right-joint_arm_3,revolute,0,-0.166,0.00025042,0.44871,1.5708,-1.1221,right-link_arm_2,0,0,1,100,1,-3.14,3.14,,,,,,,,
right-link_arm_4,6.7253E-08,-0.035384,-0.0029086,0,0,0,0.77877,0.0021294,2.3752E-08,-1.1231E-08,0.00065445,7.9354E-05,0.0020291,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_arm_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_arm_4.STL,,ARM-GR-RIGHT-00-1/RIGHT-ARM-1/J4-02-1,坐标系12,基准轴12,right-joint_arm_4,revolute,0,0,0.1615,-1.5709,0,1.5708,right-link_arm_3,0,0,1,100,1,-2.61,2.61,,,,,,,,
right-link_arm_5,0.0003459,2.975E-06,0.048731,0,0,0,0.37078,0.00046921,8.0617E-09,-7.0508E-06,0.00074252,-9.2131E-09,0.00050205,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_arm_5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_arm_5.STL,,ARM-GR-RIGHT-00-1/RIGHT-ARM-1/J5-02-1,坐标系13,基准轴13,right-joint_arm_5,revolute,0,-0.135,1.0218E-05,-1.5708,1.5708,-3.1416,right-link_arm_4,0,0,1,100,1,-3.14,3.14,,,,,,,,
right-link_arm_6,-1.6259E-06,-0.028,1.0438E-05,0,0,0,0.59195,0.00088918,-2.8999E-08,7.3671E-10,0.00053422,-1.5169E-08,0.00088918,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_arm_6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_arm_6.STL,,ARM-GR-RIGHT-00-1/RIGHT-ARM-1/J7-03right-1,坐标系14,基准轴14,right-joint_arm_6,revolute,0,0,0.105,-1.5708,0,1.5708,right-link_arm_5,0,0,1,100,1,-1.51,1.51,,,,,,,,
right-link_arm_7,-2.3746E-05,-0.026806,-0.003448,0,0,0,0.16706,0.00043484,-6.2144E-08,1.1597E-08,0.00037043,1.4512E-05,0.00016897,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_arm_7.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_arm_7.STL,,ARM-GR-RIGHT-00-1/RIGHT-ARM-1/J7-04-1,坐标系15,基准轴15,right-joint_arm_7,revolute,0,-0.056001,0,-1.5708,-1.57,1.5708,right-link_arm_6,0,0,1,100,1,-1.51,1.51,,,,,,,,
right-link_gripper_base,2.0078E-06,0.00034834,0.045721,0,0,0,0.57392,0.00053521,1.0881E-07,-7.8901E-08,0.00080086,7.8658E-06,0.00081476,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_gripper_base.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_gripper_base.STL,,ARM-GR-RIGHT-00-1/GR2A-03-0-1/G-01-1,坐标系16,基准轴16,right-joint_gripper_base,fixed,-4.7997E-05,-0.060999,4.2986E-05,-1.5708,-1.0746E-05,3.1408,right-link_arm_7,0,0,0,,,,,,,,,,,,
right-link_gripper_finger_1,0.019238,-0.010439,0.0063859,0,0,0,0.030889,1.9624E-05,5.0781E-06,7.6992E-06,2.6979E-05,-5.9317E-06,1.7644E-05,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_gripper_finger_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_gripper_finger_1.STL,,ARM-GR-RIGHT-00-1/GR2A-03-0-1/F-01-2,坐标系20,基准轴19,right-joint_gripper_finger_1,revolute,-0.0041913,0.02188,0.0812,-1.3975,-1.5708,1.3971,right-link_gripper_base,0,0.00039941,1,100,1,0,0.05,,,,,,,,
right-link_gripper_finger_2,0.019238,-0.010439,0.0063859,0,0,0,0.030889,1.9624E-05,5.0781E-06,7.6992E-06,2.6979E-05,-5.9317E-06,1.7644E-05,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_gripper_finger_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_gripper_finger_2.STL,,ARM-GR-RIGHT-00-1/GR2A-03-0-1/F-01-1,坐标系21,基准轴20,right-joint_gripper_finger_2,prismatic,0.0041913,-0.02188,0.0812,2.405,-1.5708,0.73616,right-link_gripper_base,0,0,1,100,1,0,0.05,,,,,,,,
right-link_ee_ft_sensor,-0.000108,-0.00012647,0.0058754,0,0,0,0.062708,1.8346E-05,2.8333E-08,1.1584E-08,1.8467E-05,5.858E-08,3.507E-05,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_ee_ft_sensor.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/right-link_ee_ft_sensor.STL,,ARM-GR-RIGHT-00-1/六维力-1,坐标系16,基准轴16,right-link_ee_ft_sensor,fixed,-4.7997E-05,-0.060999,4.2986E-05,-1.5708,-1.0746E-05,3.1408,right-link_arm_7,0,0,0,,,,,,,,,,,,
